
Fecha: 20/febrero/2016 05:33:33 Causa: DNI 75603564m Incorrecto al leer fichero test.xlsx
Fecha: 20/febrero/2016 05:33:54 Causa: DNI 75603564m Incorrecto al leer fichero test.xlsx
Fecha: 20/febrero/2016 05:35:14 Causa: DNI 75603564m Incorrecto al leer fichero test.xlsx
Fecha: 20/febrero/2016 05:35:42 Causa: DNI 75603564m Incorrecto al leer fichero test.xlsx
Fecha: 20/febrero/2016 05:37:12 Causa: DNI 75603564m Incorrecto al leer fichero test.xlsx
Fecha: 20/febrero/2016 05:38:37 Causa: DNI 75603564m Incorrecto al leer fichero test.xlsx
Fecha: 20/febrero/2016 05:39:43 Causa: DNI 75603564m Incorrecto al leer fichero test.xlsx
Fecha: 20/febrero/2016 05:40:31 Causa: DNI 75603564m Incorrecto al leer fichero test.xlsx
Fecha: 20/febrero/2016 05:44:58 Causa: DNI 75603564m Incorrecto al leer fichero test.xlsx
Fecha: 21/febrero/2016 01:20:31 Causa: DNI 75603564m Incorrecto al leer fichero test.xlsx

Fecha: 21/febrero/2016 01:21:16 Causa: DNI 75603564m Incorrecto al leer fichero test.xlsx
Fecha: 21/febrero/2016 01:21:16 Causa: Email victor@email. mal formado al leer fichero test.xlsx
Fecha: 21/febrero/2016 01:29:03 Causa: Email correo1@mail.es mal formado al leer fichero testDB
Fecha: 21/febrero/2016 01:29:03 Causa: Email correo3 mal formado al leer fichero testDB
Fecha: 21/febrero/2016 01:30:12 Causa: Email correo1@mail.es mal formado al leer fichero testDB
Fecha: 21/febrero/2016 01:30:12 Causa: Email correo3 mal formado al leer fichero testDB
Fecha: 22/abril/2016 01:12:00 Causa: Email correo1@mail.es mal formado al leer fichero testDB
Fecha: 22/abril/2016 01:12:00 Causa: Email correo3 mal formado al leer fichero testDB
Fecha: 28/abril/2016 12:50:01 Causa: Email correo1@mail.es mal formado al leer fichero testDB
Fecha: 28/abril/2016 12:50:01 Causa: Email correo3 mal formado al leer fichero testDB
Fecha: 28/abril/2016 01:09:22 Causa: Email correo1@mail.es mal formado al leer fichero testDB
Fecha: 28/abril/2016 01:09:22 Causa: Email correo3 mal formado al leer fichero testDB
Fecha: 28/abril/2016 01:11:19 Causa: Email correo1@mail.es mal formado al leer fichero testDB
Fecha: 28/abril/2016 01:11:19 Causa: Email correo3 mal formado al leer fichero testDB
